title,author
To Kill a Mockingbird,Harper Lee
1984,George Orwell
Pride and Prejudice,Jane Austen
The Great Gatsby,F. Scott Fitzgerald
One Hundred Years of Solitude,Gabriel García Márquez
Animal Farm,George Orwell
The Catcher in the Rye,J.D. Salinger
Lord of the Flies,William Golding
The Hobbit,J.R.R. Tolkien
Brave New World,Aldous Huxley
The Da Vinci Code,Dan Brown
The Alchemist,Paulo Coelho
The Hunger Games,Suzanne Collins
The Girl with the Dragon Tattoo,Stieg Larsson
The Kite Runner,Khaled Hosseini
The Help,Kathryn Stockett
The Road,Cormac McCarthy
Gone Girl,Gillian Flynn
The Fault in Our Stars,John Green
The Martian,Andy Weir
The Handmaid's Tale,Margaret Atwood
The Giver,Lois Lowry
The Curious Incident of the Dog in the Night-Time,Mark Haddon
The Book Thief,Markus Zusak
The Pillars of the Earth,Ken Follett
The Shadow of the Wind,Carlos Ruiz Zafón
The Night Circus,Erin Morgenstern
The Goldfinch,Donna Tartt
The Hitchhiker's Guide to the Galaxy,Douglas Adams
The Graveyard Book,Neil Gaiman
The Silence of the Lambs,Thomas Harris
The Color Purple,Alice Walker
The Lovely Bones,Alice Sebold
The Time Traveler's Wife,Audrey Niffenegger
The Poisonwood Bible,Barbara Kingsolver
The Unbearable Lightness of Being,Milan Kundera
The Perks of Being a Wallflower,Stephen Chbosky
The Guernsey Literary and Potato Peel Pie Society,Mary Ann Shaffer;Annie Barrows
The Maze Runner,James Dashner
The Immortal Life of Henrietta Lacks,Rebecca Skloot
The Thirteenth Tale,Diane Setterfield
The Sweetness at the Bottom of the Pie,Alan Bradley
The Curious Case of Benjamin Button,F. Scott Fitzgerald
The Nightingale,Kristin Hannah
The Rosie Project,Graeme Simsion
The Elegance of the Hedgehog,Muriel Barbery
The Golem and the Jinni,Helene Wecker
The Miniaturist,Jessie Burton
The Storied Life of A.J. Fikry,Gabrielle Zevin
The Orphan Master's Son,Adam Johnson
The Forgotten Garden,Kate Morton
The Bone Clocks,David Mitchell
The Unlikely Pilgrimage of Harold Fry,Rachel Joyce
The Invention of Wings,Sue Monk Kidd
The Signature of All Things,Elizabeth Gilbert
The Luminaries,Eleanor Catton
The Interestings,Meg Wolitzer
The Magicians,Lev Grossman
The Thousand Autumns of Jacob de Zoet,David Mitchell
The Tiger's Wife,Téa Obreht
The Dovekeepers,Alice Hoffman
The Paris Wife,Paula McLain
The Language of Flowers,Vanessa Diffenbaugh
The Snow Child,Eowyn Ivey
The Light Between Oceans,M.L. Stedman
The Casual Vacancy,J.K. Rowling
The Cuckoo's Calling,Robert Galbraith
The Goldfinch,Donna Tartt
The Buried Giant,Kazuo Ishiguro
The Sellout,Paul Beatty
The Underground Railroad,Colson Whitehead
The Nix,Nathan Hill
The Essex Serpent,Sarah Perry
The Power,Naomi Alderman
The Hate U Give,Angie Thomas
The Immortalists,Chloe Benjamin
The Great Alone,Kristin Hannah
The Overstory,Richard Powers
The Tattooist of Auschwitz,Heather Morris
The Silent Patient,Alex Michaelides
The Nickel Boys,Colson Whitehead
The Dutch House,Ann Patchett
The Vanishing Half,Brit Bennett
The Midnight Library,Matt Haig
The Four Winds,Kristin Hannah
The Invisible Life of Addie LaRue,V.E. Schwab
The Searcher,Tana French
The Push,Ashley Audrain
The Last Thing He Told Me,Laura Dave
The Paper Palace,Miranda Cowley Heller
The Lincoln Highway,Amor Towles
The Maid,Nita Prose
The Paris Apartment,Lucy Foley
The It Girl,Ruth Ware
The Candy House,Jennifer Egan
The Diamond Eye,Kate Quinn
The Measure,Nikki Erlick
The House in the Cerulean Sea,TJ Klune
The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid
The Thursday Murder Club,Richard Osman